source,target,sign
4324,877,1
2521,6532,-1
8307,1751,1
1461,9427,1
2741,5921,1
8307,5740,1
3746,878,-1
4778,8536,-1
7185,7748,1
7358,6780,1
2857,9762,1
8307,7204,-1
7985,8530,-1
1137,9427,1
7759,7078,1
5920,426,-1
7185,7095,1
8211,2857,1
1227,3584,-1
7227,5921,1
2106,2741,1
3634,3148,-1
9803,3479,-1
8329,1199,1
9848,768,1
5202,5295,1
5921,5699,1
1387,7185,1
3460,9848,-1
1387,1975,-1
7187,3666,1
2133,1721,-1
6872,5329,1
1975,7756,1
2393,1547,1
5861,8713,1
6650,5785,1
768,1199,-1
4031,7748,-1
6532,878,-1
5785,1726,1
8868,8329,1
9427,7759,1
3896,7676,1
3584,911,-1
285,1137,1
3460,6780,1
1389,3666,-1
7748,1975,-1
877,1975,1
6226,387,1
5202,900,1
7985,9081,1
3666,7759,1
7358,3167,-1
285,6872,1
426,5921,1
5268,2985,1
387,1227,1
3746,3762,-1
9081,5920,-1
5295,7358,1
3584,5921,1
1199,7756,1
3313,1091,1
4840,2857,-1
6650,1721,-1
9427,1199,1
9859,1547,1
8536,878,1
7204,3982,-1
3933,5740,1
174,3584,1
3167,1091,1
7676,5202,1
4938,7748,1
911,3167,1
1975,3634,1
4778,7358,1
3762,877,1
7688,3746,1
5740,5821,-1
6229,2741,1
5590,7676,1
3460,7676,1
3666,6980,-1
3460,1227,1
8868,1721,-1
5590,4599,-1
486,3584,1
5295,1461,-1
2170,6980,1
486,7748,1
1330,9859,1
5821,174,1
572,7095,1
1726,3896,-1
285,7095,1
8536,5920,-1
5329,878,1
7945,9762,1
5202,6872,-1
6265,6182,1
5699,1547,1
5590,3584,-1
4805,8677,-1
5861,1387,1
4778,6650,1
3148,7985,1
8307,768,1
9803,4535,1
7241,115,1
1389,9081,1
5920,3982,-1
4938,7676,1
3982,115,-1
3479,7204,-1
904,2106,1
8342,8868,1
7185,4938,-1
7227,6538,1
6780,3335,-1
6538,3982,-1
1389,7945,1
8307,5202,-1
426,7187,1
5861,7187,-1
9081,7095,-1
2393,9803,1
7756,3746,1
174,9848,1
5202,4805,1
911,5920,1
8342,2521,1
3634,6532,1
7241,2521,-1
8342,6265,1
2857,7688,1
115,3746,1
2985,3167,1
6872,3896,-1
1330,5821,-1
6265,4031,-1
5699,8536,1
8329,6229,-1
7187,4778,-1
5295,3148,-1
900,3896,1
2170,2541,-1
8342,5268,-1
5590,1751,1
174,572,1
7227,5268,1
3335,5920,-1
3666,1547,1
7748,2985,-1
2906,5699,-1
387,1387,1
4599,7756,-1
7759,9762,1
2541,878,1
4599,1461,-1
6980,7759,1
1199,3313,1
5295,3479,-1
878,904,1
6226,4938,1
1330,6226,1
3460,5590,1
1461,1514,1
5590,9828,1
5268,4639,1
3148,5920,-1
1091,1137,1
6493,9859,-1
7227,9613,1
5921,6538,1
2541,9803,1
5821,3746,1
9828,7241,1
3335,7095,1
2985,6493,1
7985,572,1
4639,5821,-1
900,6538,1
7688,1091,-1
5170,878,1
1975,9848,1
9613,911,1
5921,7759,1
6145,6532,-1
4535,5821,1
8439,5740,1
6493,1461,1
7227,2170,1
4805,8530,1
8530,2741,-1
1387,3746,1
486,6226,1
8530,768,1
8329,5861,1
2393,6538,1
285,6265,-1
2133,1751,-1
6538,9859,1
1726,1137,-1
7676,9859,-1
8677,387,-1
1547,1721,1
1514,8713,1
9762,5821,-1
3762,7241,-1
3313,8329,1
6538,7078,-1
6532,6182,1
6182,7945,1
5295,3460,-1
8713,878,-1
1975,285,1
3584,1137,-1
5740,4805,1
3896,4535,1
7095,1751,1
1461,5821,-1
7676,5740,1
9794,9848,1
5861,911,1
5920,1547,1
3744,3746,1
1751,7748,1
1091,115,1
6780,4938,1
7748,115,1
3666,5295,1
2170,7241,-1
6145,4031,1
8868,3460,-1
2741,2393,1
6980,768,1
1721,6780,1
4031,1514,1
5740,1547,1
1227,5785,1
5329,5170,1
1330,7756,1
7078,387,1
768,878,1
2521,9427,1
426,6650,-1
3744,3313,1
4805,1387,1
911,4535,1
5740,9859,1
2393,7227,-1
572,7945,1
8713,387,1
5295,2906,1
3148,6780,1
6145,6780,1
5785,3744,-1
