source,target,sign
3345,4717,1
6956,4018,1
5707,9323,1
5308,7006,-1
9819,2090,-1
913,9819,-1
4996,1149,-1
3327,1416,1
3678,6942,1
9787,6181,1
3345,3521,1
7592,6181,1
6277,2611,1
2952,5492,1
6833,904,1
2090,374,1
2057,4508,1
8360,443,1
7301,4358,-1
913,5267,-1
2639,904,-1
5233,1149,1
4265,5492,-1
6183,5522,-1
4702,3942,1
9787,1476,1
5267,2151,1
522,7592,-1
2668,6277,-1
3521,7445,1
6249,5233,1
3137,904,1
5935,9819,-1
3094,7445,1
443,904,1
5418,6420,-1
5522,6420,1
1416,443,-1
1836,3795,1
4358,4833,1
5935,2952,1
9819,522,1
1526,7724,1
3795,6956,-1
522,4369,-1
8409,8091,1
3137,4983,1
5707,114,1
6446,8311,-1
5987,2637,-1
2639,4094,1
5267,1448,-1
2090,9477,1
5680,8034,-1
9787,8173,-1
2652,7724,1
4835,3355,1
7343,9787,-1
8311,7619,1
3179,4835,1
2668,5233,1
1405,7301,1
4692,3094,-1
4648,5247,1
4496,5492,1
6688,7237,-1
4702,9477,1
6942,4835,-1
3355,1149,1
1476,5267,-1
4371,196,1
4304,1448,1
9787,6833,1
3345,9477,-1
5289,4508,-1
3795,196,1
6942,4018,1
1405,9787,1
4692,4358,-1
8933,8021,1
5492,5233,1
7592,2952,1
4983,3678,1
7445,1279,-1
4508,5522,1
8091,6420,-1
4692,7445,-1
9830,4983,1
6152,7592,-1
2611,3327,1
8311,8173,-1
196,8021,-1
2611,9819,1
4094,7592,-1
8360,1416,-1
8370,9848,-1
3942,7237,1
2637,5418,1
5308,8091,-1
7619,9477,-1
4702,9819,1
5267,7301,1
9848,4508,-1
6420,2637,1
2311,7561,1
1279,3094,1
5935,6397,1
9830,5492,-1
7301,5987,-1
2323,8173,1
7592,8360,1
1526,5289,1
3327,6833,1
4508,5987,-1
9848,5522,1
6277,4508,1
374,8360,-1
7445,1149,-1
2637,7592,-1
8969,904,1
7445,8360,-1
3137,7561,-1
3942,4640,1
7006,2053,1
3521,4018,-1
8091,522,1
289,2090,1
3580,4371,1
6778,6956,1
9787,2652,-1
1873,1526,-1
4640,2057,1
5707,9816,1
8409,4717,-1
1526,2057,1
1836,4358,1
8091,7333,1
114,3355,1
6397,4717,-1
7333,3521,-1
2393,4369,1
522,3580,-1
4496,3678,1
3649,2323,-1
2090,8173,1
9477,7561,1
6277,4094,-1
2057,6397,1
4640,8969,-1
3327,5707,1
9787,6183,1
4018,9819,1
4835,5492,1
8370,9816,1
7301,4835,-1
7237,8370,-1
4371,904,-1
5289,4496,1
289,3580,1
2311,904,1
4692,1405,1
4369,904,1
3521,5707,1
5135,2057,1
1836,6446,1
4265,1279,1
9787,9477,-1
4983,289,-1
9477,1149,-1
9848,8034,1
6446,3094,-1
5247,2668,-1
8969,2952,-1
7237,3935,1
6688,4358,1
1873,1416,1
8173,2057,1
196,3678,1
7237,4833,-1
7006,7333,1
9956,4640,1
904,3347,1
8021,6420,1
9323,2323,1
3580,4094,1
4640,7006,1
5289,7561,1
5267,7724,1
8360,7619,1
1448,7301,1
2053,6833,1
3355,2151,-1
443,3347,1
4833,3521,1
5987,1416,1
3179,5233,1
1416,9323,1
7333,8409,1
5987,4369,-1
3935,3521,-1
3734,2652,1
2057,3355,-1
8370,3355,1
6181,4371,1
2151,1873,1
5267,8933,1
4692,6420,1
3678,7333,-1
3347,6446,1
6688,114,1
7333,6152,-1
7724,7445,1
443,7343,1
1405,9323,1
3521,1149,1
4692,4508,-1
4835,8091,1
8390,5492,1
6183,6956,1
3094,1836,1
5680,9830,1
9848,6152,-1
9323,7237,-1
6956,2668,-1
9816,3094,1
7026,7445,1
9830,3795,1
4265,4640,-1
5216,3094,1
6833,4996,1
8034,9787,-1
3094,7237,1
1526,9787,1
8091,4018,1
5267,4717,-1
8173,7237,1
4717,1448,-1
1279,6397,-1
8173,9477,1
8311,5267,-1
6420,1149,-1
2393,8021,1
1836,3137,1
6956,4702,1
7237,6956,-1
1448,374,1
4094,1448,1
3678,4369,-1
3734,9477,1
3347,3137,1
7237,6446,-1
2151,6397,1
7006,6277,1
9816,5216,-1
3179,4833,1
904,8360,1
4369,1149,1
7561,4996,1
1416,8021,-1
4648,4265,-1
